Torneo,Fecha,Categoria,Pregunta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Pregunta_PT,Opcion1_PT,Opcion2_PT,Opcion3_PT,Pregunta_EN,Opcion1_EN,Opcion2_EN,Opcion3_EN,Respuesta_Correcta,Es_Ordenamiento
Mundial_2,1,versiculos,"¿Cuántos versículos componen el Salmo 119, estructurado en secciones según el alfabeto hebreo?",176,150,200,"Quantos versículos compõem o Salmo 119, estruturado em seções segundo o alfabeto hebraico?",176,150,200,"How many verses make up Psalm 119, structured in sections according to the Hebrew alphabet?",176,150,200,1,FALSE
Mundial_2,1,personajes,¿Cuál de los profetas menores dirigió su profecía de manera exclusiva contra la nación de Edom?,Abdías,Nahúm,Sofonías,Qual dos profetas menores direcionou sua profecia de forma exclusiva contra a nação de Edom?,Obadias,Naum,Sofonias,Which of the minor prophets directed his prophecy exclusively against the nation of Edom?,Obadiah,Nahum,Zephaniah,1,FALSE
Mundial_2,1,personajes,¿Cómo se llamaba la joven sierva que anunció la llegada de Pedro a la puerta tras ser liberado de prisión?,Rode,Tabita,Lidia,Como se chamava a jovem serva que anunciou a chegada de Pedro à porta após ser libertado da prisão?,Rode,Tabita,Lídia,What was the name of the servant girl who announced Peter's arrival at the door after he was freed from prison?,Rhoda,Tabitha,Lydia,1,FALSE
Mundial_2,1,elementos,¿A cuál de las siete iglesias de Apocalipsis se le prometió dar «una piedrecita blanca»?,Pérgamo,Esmirna,Laodicea,A qual das sete igrejas do Apocalipse foi prometido dar «uma pedrinha branca»?,Pérgamo,Esmirna,Laodiceia,"To which of the seven churches in Revelation was promised ""a white stone""?",Pergamum,Smyrna,Laodicea,1,FALSE
Mundial_2,1,personajes,"¿Quién fue el juez israelita que mató a Eglón, el rey de Moab, con una espada de dos filos?",Aod,Sangar,Otoniel,"Quem foi o juiz israelita que matou Eglom, o rei de Moabe, com uma espada de dois gumes?",Eúde,Samgar,Otoniel,"Who was the Israelite judge who killed Eglon, the king of Moab, with a double-edged sword?",Ehud,Shamgar,Othniel,1,FALSE
Mundial_2,1,personajes,¿Cómo se llamaba la esposa de Oseas a quien Dios le ordenó tomar por mujer de fornicación?,Gomer,Lo-ruhama,Sefora,Como se chamava a esposa de Oséias a quem Deus ordenou tomar por mulher de prostituição?,Gômer,Lo-Ruhama,Zípora,What was the name of Hosea's wife whom God commanded him to marry as a wife of promiscuity?,Gomer,Lo-ruhamah,Zipporah,1,FALSE
Mundial_2,1,elementos,¿Qué instrumento musical tocaba David para calmar el espíritu atormentado del rey Saúl?,El arpa,La flauta,El salterio,Qual instrumento musical Davi tocava para acalmar o espírito atormentado do rei Saul?,A harpa,A flauta,O saltério,What musical instrument did David play to soothe King Saul's tormented spirit?,The harp,The flute,The psaltery,1,FALSE
Mundial_2,1,ciudades,¿En qué valle detuvo Josué el sol y la luna durante la batalla contra los reyes amorreos?,Valle de Ajalón,Valle de Elah,Valle de Jezreel,Em qual vale Josué fez parar o sol e a lua durante a batalha contra os reis amorreus?,Vale de Aijalom,Vale de Elá,Vale de Jezreel,In which valley did Joshua command the sun and moon to stand still during battle?,Valley of Aijalon,Valley of Elah,Valley of Jezreel,1,FALSE
Mundial_2,1,personajes,¿Qué profeta reprendió al rey David tras su pecado con Betsabé mediante una parábola?,Natán,Gad,Ahías,Qual profeta repreendeu o rei Davi após seu pecado com Bate-Seba por meio de uma parábola?,Natã,Gade,Aías,Which prophet rebuked King David after his sin with Bathsheba through a parable?,Nathan,Gad,Ahijah,1,FALSE
Mundial_2,1,personajes,"¿Cómo se llamaba el padre de Juan el Bautista, perteniciente al grupo sacerdotal de Abías?",Zacarías,Simeón,Ananías,"Como se chamava o pai de João Batista, pertencente à ordem sacerdotal de Abias?",Zacarias,Simeão,Ananias,"What was the name of John the Baptist's father, who belonged to the priestly division of Abijah?",Zechariah,Simeon,Ananias,1,FALSE
Mundial_2,1,personajes,¿Qué diácono fue el primer mártir cristiano pedreado hasta la muerte tras su discurso ante el Sanedrín?,Esteban,Felipe,Prócoro,Qual diácono foi o primeiro mártir cristão apedrejado até a morte após seu discurso perante o Sinédrio?,Estêvão,Filipe,Prócoro,Which deacon was the first Christian martyr stoned to death following his speech to the Sanhedrin?,Stephen,Philip,Prochorus,1,FALSE
Mundial_2,1,personajes,"¿Cuántos años vivió Matusalén, la persona más longeva registrada en las Escrituras?",969 años,950 años,930 años,"Quantos anos viveu Matusalém, a pessoa mais longeva registrada nas Escrituras?",969 anos,950 anos,930 anos,"How many years did Methuselah live, making him the oldest person recorded in Scripture?",969 years,950 years,930 years,1,FALSE
Mundial_2,1,personajes,¿Qué mujer escondió a los dos espías enviados por Josué a Jericó debajo de manojos de lino?,Rahab,Rut,Tamar,Qual mulher escondeu os dois espiões enviados por Josué a Jericó debaixo de hastes de linho?,Raabe,Rute,Tamar,Which woman hid the two spies sent by Joshua to Jericho under stalks of flax?,Rahab,Ruth,Tamar,1,FALSE
Mundial_2,1,ciudades,¿Qué monte es tradicionalmente asociado con la Transfiguración de Jesús junto a Moisés y Elías?,Monte Tabor,Monte de los Olivos,Monte Carmelo,Qual monte é tradicionalmente associado à Transfiguração de Jesus junto a Moisés e Elias?,Monte Tabor,Monte das Oliveiras,Monte Carmelo,Which mountain is traditionally associated with the Transfiguration of Jesus alongside Moses and Elijah?,Mount Tabor,Mount of Olives,Mount Carmel,1,FALSE
Mundial_2,2,personajes,¿Qué profeta fue llevado cautivo a Babilonia junto con el rey Joaquín en la primera deportación masiva?,Ezequiel,Daniel,Jeremías,Qual profeta foi levado cativo para a Babilônia junto com o rei Joaquim na primeira deportação em massa?,Ezequiel,Daniel,Jeremias,Which prophet was taken captive to Babylon along with King Jehoiachin during the first mass deportation?,Ezekiel,Daniel,Jeremiah,1,FALSE
Mundial_2,2,personajes,¿Cómo se llamaba el eunuco principal del rey Asuero encargado del cuidado de las mujeres en Susa?,Hegai,Hatac,Bigtán,Como se chamava o eunuco principal do rei Assuero encarregado do cuidado das mulheres em Susã?,Hegai,Hataque,Bigtã,What was the name of King Ahasuerus's chief eunuch in charge of the women in Susa?,Hegai,Hathach,Bigthan,1,FALSE
Mundial_2,2,personajes,¿Qué rey de Judá fue herido por una flecha en Megido durante su batalla contra el faraón Necao II?,Josías,Joacim,Ocozías,Qual rei de Judá foi ferido por uma flecha em Megido durante a batalha contra o faraó Neco II?,Josias,Jeoaquim,Acazias,Which king of Judah was fatally wounded by an arrow at Megiddo in battle against Pharaoh Necho II?,Josiah,Jehoiakim,Ahaziah,1,FALSE
Mundial_2,2,ciudades,"Según Números 20, ¿en qué monte murió el sumo sacerdote Aarón tras transferir sus vestiduras a Eleazar?",Monte Hor,Monte Nebo,Monte Sinaí,"Segundo Números 20, em qual monte morreu o sumo sacerdote Arão após transferir suas vestes a Eleazar?",Monte Hor,Monte Nebo,Monte Sinai,"According to Numbers 20, on which mountain did the high priest Aaron die after passing his garments to Eleazar?",Mount Hor,Mount Nebo,Mount Sinai,1,FALSE
Mundial_2,2,personajes,¿Qué juez libró a Israel de los amonitas tras hacer un voto sobre lo primero que saliera de su casa?,Jefté,Gedeón,Sansón,Qual juiz libertou Israel dos amonitas após fazer um voto sobre o primeiro que saísse de sua casa?,Jefté,Gideão,Sansão,Which judge delivered Israel from the Ammonites after making a vow concerning whatever first came out of his house?,Jephthah,Gideon,Samson,1,FALSE
Mundial_2,2,ciudades,¿A qué ciudad costera huyó el profeta Jonás intentando embarcarse hacia Tarsis?,Jope,Tiro,Sidón,Para qual cidade litorânea o profeta Jonas fugiu tentando embarcar para Társis?,Jope,Tiro,Sidom,To which coastal city did the prophet Jonah flee to board a ship bound for Tarshish?,Joppa,Tyre,Sidon,1,FALSE
Mundial_2,2,versiculos,"En Apocalipsis 2, ¿a qué iglesia se le promete dar del «árbol de la vida» que está en medio del paraíso de Dios?",Éfeso,Esmirna,Filadelfia,"Em Apocalipse 2, a qual igreja é prometido dar da «árvore da vida» que está no meio do paraíso de Deus?",Éfeso,Esmirna,Filadélfia,"In Revelation 2, to which church is it promised to eat from the ""tree of life"" in the paradise of God?",Ephesus,Smyrna,Philadelphia,1,FALSE
Mundial_2,2,personajes,¿Qué rey asirio sitió la ciudad de Samaria durante tres años hasta la caída del Reino del Norte?,Salmanasar V,Senaquerib,Esar-hadón,Qual rei assírio cercou a cidade de Samaria durante três anos até a queda do Reino do Norte?,Salmaneser V,Senaqueribe,Esar-Hadom,Which Assyrian king besieged Samaria for three years until the fall of the Northern Kingdom?,Shalmaneser V,Sennacherib,Esarhaddon,1,FALSE
Mundial_2,2,personajes,"¿Qué secta judía del Nuevo Testamento no creía en la resurrección, ni en ángeles, ni en espíritus?",Saduceos,Fariseos,Esenios,"Qual seita judaica do Novo Testamento não acreditava na ressurreição, nem em anjos, nem em espíritos?",Saduceus,Fariseus,Essênios,"Which Jewish sect in the New Testament did not believe in resurrection, angels, or spirits?",Sadducees,Pharisees,Essenes,1,FALSE
Mundial_2,2,personajes,"¿Cómo se llamaba la suegra de Rut, quien le pidió a la gente de Belén que la llamaran ""Mara""?",Noemí,Orfa,Sara,"Como se chamava a sogra de Rute, que pediu às pessoas de Belém que a chamassem de ""Mara""?",Noemi,Orfa,Sara,"What was the name of Ruth's mother-in-law, who asked the people of Bethlehem to call her ""Mara""?",Naomi,Orpah,Sarah,1,FALSE
Mundial_2,2,ciudades,¿En qué ciudad de Macedonia fue encarcelado Pablo junto con Silas tras liberar a una muchacha de un espíritu de adivinación?,Filipos,Tesalónica,Berea,Em qual cidade da Macedônia Paulo foi preso junto com Silas após libertar uma jovem de um espírito de adivinhação?,Filipos,Tessalônica,Bereia,In which Macedonian city was Paul imprisoned alongside Silas after freeing a slave girl from a spirit of divination?,Philippi,Thessalonica,Berea,1,FALSE
Mundial_2,2,personajes,¿Qué sumo sacerdote ungió al rey Salomón en Gihón para ratificar su mandato frente a Adonías?,Sadoc,Abiatar,Joiada,Qual sumo sacerdote ungiu o rei Salomão em Giom para ratificar seu mandato diante de Adonias?,Zadoque,Abiatar,Joiada,Which high priest anointed King Solomon at Gihon to establish his kingship against Adonijah?,Zadok,Abiathar,Jehoiada,1,FALSE
Mundial_2,2,ciudades,"¿Qué tribu de Israel no recibió un territorio territorial continuo, sino ciudades dispersas dentro de las otras tribus?",Leví,Benjamín,Dan,"Qual tribo de Israel não recebeu um território contínuo, mas sim cidades dispersas dentro das outras tribos?",Levi,Benjamim,Dã,"Which tribe of Israel did not receive a contiguous land territory, but rather scattered cities within other tribes?",Levi,Benjamin,Dan,1,FALSE
Mundial_2,2,versiculos,"Según Hechos 18, ¿quién era el proconsul romano de Acaya ante quien los judíos acusaron a Pablo en Corinto?",Galión,Félix,Festo,"Segundo Atos 18, quem era o procônsul romano da Acaia perante quem os judeus acusaram Paulo em Corinto?",Galião,Félix,Festo,"According to Acts 18, who was the Roman proconsul of Achaia before whom Paul was accused in Corinth?",Gallio,Felix,Festus,1,FALSE
Mundial_2,2,personajes,¿Qué rey de Judá fue castigado con lepra en la frente por intentar quemar incienso en el templo?,Uzías (Azarías),Acaz,Jotam,Qual rei de Judá foi punido com lepra na testa por tentar queimar incenso no templo?,Uzias,Acaz,Jotão,Which king of Judah was struck with leprosy on his forehead for attempting to burn incense in the temple?,Uzziah,Ahaz,Jotham,1,FALSE
Mundial_2,2,personajes,¿Cómo se llamaba el falso profeta que rompió el yugo de madera del cuello de Jeremías?,Hananías,Sedequías,Semaías,Como se chamava o falso profeta que quebrou o jugo de madeira do pescoço de Jeremias?,Hananias,Zedequias,Semaías,What was the name of the false prophet who broke the wooden yoke from Jeremiah's neck?,Hananiah,Zedekiah,Shemaiah,1,FALSE
Mundial_2,2,ciudades,¿Qué pequeña ciudad cercana a Sodoma fue perdonada por Dios a petición de Lot para que pudiera huir allí?,Zoar,Adma,Zeboim,Qual pequena cidade próxima a Sodoma foi poupada por Deus a pedido de Ló para que ele pudesse fugir para lá?,Zoar,Admá,Zeboim,Which small city near Sodom was spared by God at Lot's request so he could flee there?,Zoar,Admah,Zeboiim,1,FALSE
Mundial_2,2,elementos,"En Apocalipsis, ¿cuántos sellos contiene el libro enrollado que solo el Cordero es digno de abrir?",Siete,Doce,Cuatro,"Em Apocalipse, quantos selos contém o livro selado que só o Cordeiro é digno de abrir?",Sete,Doze,Quatro,"In Revelation, how many seals are on the scroll that only the Lamb is worthy to open?",Seven,Twelve,Four,1,FALSE
Mundial_2,2,personajes,¿Quién era el general del ejército de David que atravesó a Absalón con tres dardos mientras colgaba de una encina?,Joab,Abner,Amasa,Quem era o general do exército de Davi que atravessou Absalão com três dardos enquanto ele estava pendurado em um carvalho?,Joabe,Abner,Amasa,Who was the commander of David's army who struck Absalom with three spears while he hung from an oak tree?,Joab,Abner,Amasa,1,FALSE
Mundial_2,2,personajes,¿Qué reina usurpó el trono de Judá y mandó a matar a todos los príncipes reales tras la muerte de su hijo Ocozías?,Atalía,Jezabel,Herodías,Qual rainha usurpou o trono de Judá e mandou matar todos os príncipes reais após a morte de seu filho Acazias?,Atalia,Jezabel,Herodias,Which queen usurped the throne of Judah and ordered the execution of all royal heirs after the death of her son Ahaziah?,Athaliah,Jezebel,Herodias,1,FALSE
Mundial_2,3,ciudades,¿En qué ciudad de Macedonia sufrieron azotes y cárcel Pablo y Silas tras expulsar un espíritu de adivinación?,Filipos,Tesalónica,Berea,Em qual cidade da Macedônia Paulo e Silas foram açoitados e presos após expulsarem um espírito de adivinhação?,Filipos,Tessalônica,Bereia,In which Macedonian city were Paul and Silas beaten and imprisoned after casting out a spirit of divination?,Philippi,Thessalonica,Berea,1,FALSE
Mundial_2,3,personajes,¿Qué sumo sacerdote ungió a Salomón junto a la fuente de Gihón para asegurar su trono frente a Adonías?,Sadoc,Abiatar,Joiada,Qual sumo sacerdote ungiu Salomão junto à fonte de Giom para assegurar seu trono diante de Adonias?,Zadoque,Abiatar,Joiada,Which high priest anointed Solomon at the Gihon spring to secure his throne against Adonijah?,Zadok,Abiathar,Jehoiada,1,FALSE
Mundial_2,3,elementos,"¿Qué objeto sagrado llevó el ejército de Israel a la batalla contra los filisteos en Eben-ezer, siendo capturado por el enemigo?",El Arca de la Alianza,El Efod de oro,El altar de incienso,"Qual objeto sagrado o exército de Israel levou para a batalha contra os filisteus em Ebenézer, sendo capturado pelo inimigo?",A Arca da Aliança,O Éfode de ouro,O altar de incenso,"Which sacred object did the army of Israel bring into battle against the Philistines at Ebenezer, only for it to be captured?",The Ark of the Covenant,The golden Ephod,The altar of incense,1,FALSE
Mundial_2,3,eventos,¿En qué monte descendió fuego del cielo para consumir el holocausto del profeta Elías frente a los profetas de Baal?,Monte Carmelo,Monte Horeb,Monte Hermón,Em qual monte desceu fogo do céu para consumir o holocausto do profeta Elias diante dos profetas de Baal?,Monte Carmelo,Monte Horebe,Monte Hermom,On which mountain did fire fall from heaven to consume Elijah's burnt offering in front of the prophets of Baal?,Mount Carmel,Mount Horeb,Mount Hermon,1,FALSE
Mundial_2,3,versiculos,¿En qué libro de la Biblia se encuentra la profecía del 'Siervo Sufriente' que dice 'mas él herido fue por nuestras rebeliones'?,Isaías,Jeremías,Ezequiel,Em qual livro da Bíblia se encontra a profecia do 'Servo Sofredor' que diz 'mas ele foi ferido por causa das nossas transgressões'?,Isaías,Jeremias,Ezequiel,In which Bible book is the prophecy of the 'Suffering Servant' found stating 'he was pierced for our transgressions'?,Isaiah,Jeremiah,Ezekiel,1,FALSE
Mundial_2,3,ciudades,"¿En qué ciudad nació el apóstol Pablo, famosa por ser un centro cultural de Cilicia?",Tarso,Antioquía,Listra,"Em qual cidade nasceu o apóstolo Paulo, famosa por ser um centro cultural da Cilícia?",Tarso,Antioquia,Listra,"In which city was the apostle Paul born, renowned as a cultural hub of Cilicia?",Tarsus,Antioch,Lystra,1,FALSE
Mundial_2,3,personajes,¿Qué reina de Judá usurpó el trono y mandó a matar a toda la descendencia real tras la muerte de Ocozías?,Atalía,Jezabel,Vasti,Qual rainha de Judá usurpou o trono e mandou matar toda a descendência real após a morte de Acazias?,Atalia,Jezabel,Vasti,Which queen of Judah usurped the throne and executed the royal family after Ahaziah's death?,Athaliah,Jezebel,Vashti,1,FALSE
Mundial_2,3,elementos,¿De qué material eran las dos columnas principales construidas por Hiram para el pórtico del templo de Salomón?,Bronce,Oro,Plata,De que material eram as duas colunas principais construídas por Hirão para o pórtico do templo de Salomão?,Bronze,Ouro,Prata,Of what material were the two main pillars built by Hiram for the porch of Solomon's temple made?,Bronze,Gold,Silver,1,FALSE
Mundial_2,3,eventos,¿Qué rey de Judá fue castigado con lepra por intentar quemar incienso en el altar del Templo?,Uzías (Azarías),Acaz,Jotam,Qual rei de Judá foi punido com lepra por tentar queimar incenso no altar do Templo?,Uzias (Azarias),Acaz,Jotão,Which king of Judah was struck with leprosy for attempting to burn incense on the Temple altar?,Uzziah (Azariah),Ahaz,Jotham,1,FALSE
Mundial_2,3,versiculos,"¿En qué epístola se afirma que 'la fe es la certeza de lo que se espera, la convicción de lo que no se ve'?",Hebreos,Santiago,Romanos,"Em qual epístola se afirma que 'a fé é a certeza das coisas que se esperam, a convicção das coisas que não se vêem'?",Hebreus,Tiago,Romanos,"In which epistle is it stated that 'faith is the substance of things hoped for, the evidence of things not seen'?",Hebrews,James,Romans,1,FALSE
Mundial_2,3,ciudades,¿Qué pequeña ciudad cercana a Sodoma fue librada de la destrucción a petición de Lot para huir allí?,Zoar,Adma,Zeboim,Qual pequena cidade próxima a Sodoma foi poupada da destruição a pedido de Ló para que ele fugisse para lá?,Zoar,Admá,Zeboim,Which small town near Sodom was spared from destruction at Lot's request so he could flee there?,Zoar,Admah,Zeboiim,1,FALSE
Mundial_2,3,personajes,¿Quién era el general del ejército de Saúl que posteriormente proclamó rey a Is-boset?,Abner,Joab,Benaía,Quem era o general do exército de Saul que posteriormente proclamou Ish-Bosete como rei?,Abner,Joabe,Menaia,Who was the commander of Saul's army who later proclaimed Ish-bosheth king?,Abner,Joab,Benaiah,1,FALSE
Mundial_2,3,elementos,¿Qué alimento especial descendió del cielo durante cuarenta años para alimentar a los israelitas en el desierto?,Maná,Pan sin levadura,Torta de higos,Qual alimento especial desceu do céu durante quarenta anos para alimentar os israelitas no deserto?,Maná,Pão asmo,Bolo de figos,What special food rained down from heaven for forty years to feed the Israelites in the wilderness?,Manna,Unleavened bread,Fig cake,1,FALSE
Mundial_2,3,eventos,¿Qué milagro realizó Jesús en Naín al compadecerse de una mujer desconsolada?,Resucitó al hijo único de una viuda,Sanó a un hombre paralítico,Multiplicó los panes,Qual milagre Jesus realizou em Naim ao se compadecer de uma mulher desconsolada?,Ressuscitou o filho único de uma viúva,Curou um homem paralítico,Multiplicou os pães,What miracle did Jesus perform in Nain out of compassion for a grieving woman?,Raised a widow's only son to life,Healed a paralyzed man,Multiplied the loaves,1,FALSE
Mundial_2,3,versiculos,"¿Qué libro de la Biblia concluye con las palabras 'Ciertamente vengo en breve. Amén; sí, ven, Señor Jesús'?",Apocalipsis,Judas,2 Pedro,"Qual livro da Bíblia conclui com as palavras 'Certamente cedo venho. Amém. Sim, vem, Senhor Jesus'?",Apocalipse,Judas,2 Pedro,"Which book of the Bible concludes with 'Yes, I am coming soon. Amen. Come, Lord Jesus'?",Revelation,Jude,2 Peter,1,FALSE
Mundial_2,3,ciudades,¿En qué ciudad tuvo lugar el arresto de Pablo tras desatarse un alboroto provocado por el platero Demetrio?,Éfeso,Atenas,Corinto,Em qual cidade ocorreu o alvoroço contra Paulo provocado pelo ourives Demétrio?,Éfeso,Atenas,Corinto,In which city did a riot break out against Paul instigated by the silversmith Demetrius?,Ephesus,Athens,Corinth,1,FALSE
Mundial_2,3,personajes,¿Qué profeta fue arrojado a un cisterna llena de cieno por anunciar la caída de Jerusalén?,Jeremías,Ezequiel,Amós,Qual profeta foi lançado em uma cisterna cheia de lama por anunciar a queda de Jerusalém?,Jeremias,Ezequiel,Amós,Which prophet was thrown into a muddy cistern for announcing the fall of Jerusalem?,Jeremiah,Ezekiel,Amos,1,FALSE
Mundial_2,3,elementos,"¿Qué vestidura especial confeccionó Jacob para su hijo preferido José, despertando la envidia de sus hermanos?",Una túnica de diversos colores,Un manto de lino fino,Un cinto de púrpura,"Qual vestimenta especial Jacó fez para seu filho preferido José, despertando a inveja de seus irmãos?",Uma túnica de várias cores,Um manto de linho fino,Um cinto de púrpura,"What special garment did Jacob make for his favored son Joseph, sparking his brothers' jealousy?",A coat of many colors,A fine linen robe,A purple sash,1,FALSE
Mundial_2,3,eventos,¿En qué fiesta judía se encontraban reunidos los discípulos cuando el Espíritu Santo descendió en forma de lenguas de fuego?,Pentecostés,Pascua,Tabernáculos,Em qual festa judaica os discípulos estavam reunidos quando o Espírito Santo desceu em forma de línguas de fogo?,Pentecostes,Páscoa,Tabernáculos,On which Jewish festival were the disciples gathered when the Holy Spirit descended as tongues of fire?,Pentecost,Passover,Tabernacles,1,FALSE
Mundial_2,3,versiculos,¿Qué rey compuso el Salmo 51 pidiendo perdón tras su pecado con Betsabé y el asesinato de Urías?,David,Salomón,Ezequías,Qual rei compôs o Salmo 51 pedindo perdão após seu pecado com Bate-Seba e o assassinato de Urias?,Davi,Salomão,Ezequias,Which king composed Psalm 51 asking for forgiveness after his sin with Bathsheba and Uriah's death?,David,Solomon,Hezekiah,1,FALSE
Mundial_2,4,ciudades,¿En qué ciudad siria fue llamado por primera vez 'cristianos' a los discípulos de Jesús?,Antioquía,Damasco,Tiro,Em qual cidade síria os discípulos de Jesus foram chamados de 'cristãos' pela primeira vez?,Antioquia,Damasco,Tiro,In which Syrian city were the disciples of Jesus first called 'Christians'?,Antioch,Damascus,Tyre,1,FALSE
Mundial_2,4,personajes,¿Quién era el escriba que leyó la Ley de Moisés ante el pueblo de Jerusalén tras el regreso del cautiverio?,Esdras,Nehemías,Zorobabel,Quem era o escriba que leu a Lei de Moisés diante do povo de Jerusalém após o retorno do cativeiro?,Esdras,Neemias,Zorobabel,Who was the scribe who read the Law of Moses before the people of Jerusalem after returning from exile?,Ezra,Nehemiah,Zerubbabel,1,FALSE
Mundial_2,4,elementos,¿Qué objeto mandó Moisés elaborar y elevar sobre un asta para sanar a los israelitas mordidos por serpientes?,Una serpiente de bronce,Un becerro de oro,Una vara de almendro,Qual objeto Moisés mandou fazer e levantar sobre uma haste para curar os israelitas picados por serpentes?,Uma serpente de bronze,Um bezerro de ouro,Uma vara de amendoeira,What object did Moses make and set on a pole to heal the Israelites bitten by poisonous snakes?,A bronze serpent,A golden calf,An almond rod,1,FALSE
Mundial_2,4,eventos,"¿En qué lugar fue transfigurado Jesús ante Pedro, Santiago y Juan, apareciendo junto a Moisés y Elías?",Un monte alto (Monte Tabor / Hermón),El Monte de los Olivos,El Monte Sinaí,"Em qual lugar Jesus foi transfigurado diante de Pedro, Tiago e João, aparecendo ao lado de Moisés e Elias?",Um alto monte (Monte Tabor / Hermom),O Monte das Oliveiras,O Monte Sinai,"In what place was Jesus transfigured before Peter, James, and John, appearing alongside Moses and Elijah?",A high mountain (Mount Tabor / Hermon),The Mount of Olives,Mount Sinai,1,FALSE
Mundial_2,4,versiculos,"¿En qué epístola se halla el pasaje 'El amor es sofrido, es benigno; el amor no tiene envidia...'?",1 Corintios,Efesios,Gálatas,"Em qual epístola se encontra a passagem 'O amor é paciente, é bondoso; o amor não é invejoso...'?",1 Coríntios,Efésios,Gálatas,"In which epistle is the passage found 'Love is patient, love is kind. It does not envy...'?",1 Corinthians,Ephesians,Galatians,1,FALSE
Mundial_2,4,ciudades,"¿En qué ciudad vivió la profetisa Débora, juzgando a Israel entre Ramá y Betel?",En la región montañosa de Efraín,En Hebrón,En Silo,"Em qual região viveu a profetisa Débora, julgando a Israel entre Ramá e Betel?",Na região montanhosa de Efraim,Em Hebrom,Em Siló,"In which area did the prophetess Deborah live, judging Israel between Ramah and Bethel?",In the hill country of Ephraim,In Hebron,In Shiloh,1,FALSE
Mundial_2,4,personajes,¿Cómo se llamaba el joven que se quedó dormido durante el largo discurso de Pablo y cayó desde un tercer piso?,Eutico,Tíquico,Tercio,Como se chamava o jovem que adormeceu durante o longo discurso de Paulo e caiu do terceiro andar?,Éutico,Tíquico,Tércio,What was the name of the young man who fell asleep during Paul's long sermon and fell from a third-story window?,Eutychus,Tychicus,Tertius,1,FALSE
Mundial_2,4,elementos,¿Qué usó Gedeón para confirmar la voluntad de Dios antes de ir a la batalla contra los madianitas?,Un vellón de lana,Un puñado de trigo,Un cántaro de barro,O que Gideão usou para confirmar a vontade de Deus antes de ir à batalha contra os midianitas?,Um mecha de lã,Um punhado de trigo,Um jarro de barro,What did Gideon use to confirm God's will before going to battle against the Midianites?,A fleece of wool,A handful of wheat,A clay pitcher,1,FALSE
Mundial_2,4,eventos,¿Qué plaga final sobre Egipto provocó que el Faraón finalmente dejara ir al pueblo de Israel?,La muerte de los primogénitos,La plaga de langostas,Las tinieblas densas,Qual praga final sobre o Egito fez com que o Faraó finalmente deixasse o povo de Israel ir?,A morte dos primogênitos,A praga de gafanhotos,As trevas densas,Which final plague upon Egypt made Pharaoh finally let the people of Israel go?,The death of the firstborn,The plague of locusts,The thick darkness,1,FALSE
Mundial_2,4,versiculos,"¿En qué libro del Antiguo Testamento se encuentra el versículo 'Tiempo de nacer, y tiempo de morir; tiempo de plantar, y tiempo de arrancar lo plantado'?",Eclesiastés,Proverbios,Cantares,Em qual livro do Antigo Testamento se encontra o versículo 'Tempo de nascer e tempo de morrer; tempo de plantar e tempo de arrancar o que se plantou'?,Eclesiastes,Provérbios,Cânticos,"In which Old Testament book is the verse 'A time to be born and a time to die, a time to plant and a time to uproot'?",Ecclesiastes,Proverbs,Song of Solomon,1,FALSE
Mundial_2,4,ciudades,"¿En qué ciudad vivía Cornelio, el centurión romano piadoso a quien Pedro fue enviado a predicar?",Cesarea,Jope,Tiberias,"Em qual cidade vivia Cornélio, o centurião romano piedoso a quem Pedro foi enviado a pregar?",Cesareia,Jope,Tiberíades,"In which city did Cornelius, the devout Roman centurion to whom Peter was sent, live?",Caesarea,Joppa,Tiberias,1,FALSE
Mundial_2,4,personajes,¿Quién era el rey de Siria a quien el general Naamán servía antes de ser curado de su lepra por Eliseo?,Ben-hadad,Hazael,Rezin,Quem era o rei da Síria a quem o general Naamã servia antes de ser curado da lepra por Eliseu?,Ben-Hadade,Hazael,Rezim,Who was the king of Aram (Syria) whom commander Naaman served before being healed of leprosy by Elisha?,Ben-hadad,Hazael,Rezin,1,FALSE
Mundial_2,4,elementos,¿Qué objeto usó la mujer samaritana en el pozo de Jacob cuando conversó con Jesús sobre el agua viva?,Un cántaro,Un odre de cuero,Una vasija de plata,Qual objeto a mulher samaritana usava no poço de Jacó quando conversou com Jesus sobre a água viva?,Um cántaro (canto),Um odre de couro,Um vaso de prata,What object did the Samaritan woman have at Jacob's well when talking with Jesus about living water?,A water jar,A leather wineskin,A silver vessel,1,FALSE
Mundial_2,4,eventos,¿Qué evento sobrenatural provocó la apertura de las puertas de la cárcel donde estaban Pablo y Silas en Filipos?,Un gran terremoto,Un rayo del cielo,Un viento recio,Qual evento sobrenatural provocou a abertura das portas da prisão onde estavam Paulo e Silas em Filipos?,Um grande terremoto,Um raio do céu,Um vento forte,What supernatural event caused the doors of the Philippian prison to fly open while Paul and Silas prayed?,A violent earthquake,A bolt of lightning,A rushing wind,1,FALSE
Mundial_2,4,versiculos,¿En qué epístola se enseña que 'la fe sin obras está muerta'?,Santiago,Gálatas,1 Pedro,Em qual epístola se ensina que 'a fé sem obras é morta'?,Tiago,Gálatas,1 Pedro,In which epistle is it taught that 'faith without works is dead'?,James,Galatians,1 Peter,1,FALSE
